,id,neighbourhood_group,host_name,host_id,minimum_price,z_value_prices,z_interpretation
121,27659,Brooklyn,Vero,119588,800,-0.041038169837949785,Average price
122,27759,Manhattan,Sylvie,119900,1190,-0.007999764050126234,Average price
123,27883,Manhattan,Jen,120223,400,-0.07492371423571753,Average price
124,28321,Brooklyn,Kay,65091,150,-0.09610217948432237,Average price
125,28396,Brooklyn,Jo,6197784,90,-0.10118501114398752,Lower price average
126,28907,Manhattan,Lisa,124352,750,-0.04527386288767075,Average price
127,29012,Manhattan,Fernando And Lenin,124797,1275,-0.0007990858656005891,Average price
128,29013,Brooklyn,Angela,35935,210,-0.0910193478246572,Average price
129,29455,Manhattan,Laurine,126607,360,-0.0783122686754943,Average price
130,29628,Brooklyn,Chris,127608,267,-0.0861906577479753,Average price
131,29683,Manhattan,Uli,125857,925,-0.030448937213647363,Average price
132,30031,Brooklyn,Sol,129352,150,-0.09610217948432237,Average price
133,30927,Manhattan,Cs,120335,315,-0.08212439242024316,Average price
134,31130,Manhattan,Lara,117287,260,-0.08678365477493624,Average price
135,31555,Manhattan,Tom,135619,3335,0.17371146778290328,Higher price average
136,31902,Brooklyn,Sunder,137292,154,-0.09576332404034468,Average price
137,31994,Brooklyn,Waldemar,137814,152,-0.09593275176233353,Average price
138,32023,Brooklyn,Khem,137974,375,-0.07704156076057801,Average price
139,32037,Brooklyn,Sahr,116599,540,-0.06306377369649882,Average price
140,32100,Brooklyn,Ali+Scott,138579,7250,0.505366233576055,Higher price average
141,32289,Brooklyn,Elisabeth,139612,597,-0.05823508361981691,Average price
142,32331,Brooklyn,Sarah,139874,280,-0.08508937755504785,Average price
143,32363,Queens,Fredah,140025,280,-0.08508937755504785,Average price
144,32965,Brooklyn,Khem,137974,345,-0.0795829765904106,Average price
145,32969,Brooklyn,Katherine,142833,480,-0.06814660535616397,Average price
146,33009,Brooklyn,Ming,143027,780,-0.04273244705783817,Average price
147,33014,Manhattan,Paula,143048,585,-0.059251649951749946,Average price
148,33223,Brooklyn,Lulú,72014,240,-0.08847793199482462,Average price
149,34760,Brooklyn,Obed,149929,352,-0.07898997956344965,Average price
150,35526,Manhattan,Karen,120291,624,-0.05594780937296759,Average price
151,36121,Brooklyn,Michael,62165,1275,-0.0007990858656005891,Average price
152,36133,Brooklyn,White,142684,375,-0.07704156076057801,Average price
153,36442,Brooklyn,Paz,137432,1725,0.03732215158188812,Average price
154,36647,Manhattan,Irene,157798,138,-0.0971187458162554,Average price
155,36703,Manhattan,Karene,158284,10125,0.7489185839350108,Higher price average
156,36934,Brooklyn,Viviana,159370,750,-0.04527386288767075,Average price
157,38638,Manhattan,Sara,92788,876,-0.03459991640237391,Average price
158,38663,Brooklyn,Sarah,165789,1425,0.011907993283562315,Average price
159,39267,Manhattan,Marie,168417,99,-0.10042258639503775,Lower price average
160,39282,Brooklyn,Gus,168525,276,-0.08542823299902552,Average price
161,39593,Queens,Myung,110506,2370,0.09196259192328861,Average price
162,39704,Brooklyn,Renée,170510,270,-0.08593651616499204,Average price
163,40039,Brooklyn,Henry,171851,750,-0.04527386288767075,Average price
164,40453,Manhattan,Sylvia,174025,750,-0.04527386288767075,Average price
165,41348,Brooklyn,Syl,180083,500,-0.06645232813627559,Average price
166,41513,Manhattan,Lorenzo,181167,240,-0.08847793199482462,Average price
167,42580,Brooklyn,Waldemar,137814,140,-0.09694931809426656,Average price
168,42729,Brooklyn,Annette,11481,330,-0.08085368450532689,Average price
169,42882,Staten Island,Newyorkroomwithaview,185978,140,-0.09694931809426656,Average price
170,43957,Brooklyn,Tessa,177536,100,-0.10033787253404333,Lower price average
171,44096,Bronx,Waundell,190409,40,-0.1054207041937085,Lower price average
172,44161,Brooklyn,Young,193360,300,-0.08339510033515946,Average price
173,44212,Manhattan,Bruce,72062,125,-0.09822002600918285,Average price
174,44221,Manhattan,Coral,193722,588,-0.05899750836876669,Average price
175,44229,Brooklyn,Carol,181376,220,-0.09017220921471301,Average price
176,44288,Manhattan,Sara,193637,510,-0.06560518952633139,Average price
177,44506,Manhattan,Laurine,126607,495,-0.06687589744124768,Average price
178,45393,Manhattan,Myrna,201297,3900,0.2215747992447502,Higher price average
179,45542,Manhattan,Campbell,202249,200,-0.0918664864346014,Average price
180,45556,Brooklyn,Doug,67778,130,-0.09779645670421075,Average price
181,45910,Queens,Mark,204539,2800,0.12838955215088893,Higher price average
182,45936,Manhattan,Rahul,867225,396,-0.0752625696796952,Average price
183,45940,Brooklyn,Miyoung,204724,800,-0.041038169837949785,Average price
184,46544,Brooklyn,Monica,8198,750,-0.04527386288767075,Average price
185,46723,Brooklyn,Marylyn,209460,270,-0.08593651616499204,Average price
186,46911,Brooklyn,Kathleen R.,210746,360,-0.0783122686754943,Average price
187,47199,Manhattan,Teresa,212722,225,-0.08974863990974091,Average price
188,47362,Brooklyn,Robert,214148,4550,0.2766388088911228,Higher price average
189,47370,Manhattan,Alex,214287,375,-0.07704156076057801,Average price
190,47926,Manhattan,Claudia,218404,275,-0.08551294686001995,Average price
191,48719,Manhattan,Shane,221873,598,-0.05815036975882249,Average price
192,50447,Brooklyn,Laurie,9744,675,-0.051627402462252205,Average price
193,51438,Manhattan,Jessica,236421,1820,0.04536996837635796,Average price
194,51485,Manhattan,Erina,236655,83,-0.10177800817094847,Lower price average
195,51572,Manhattan,Lee,237329,123,-0.09838945373117168,Average price
196,51850,Queens,Jullett,27848,110,-0.09949073392409914,Average price
197,53137,Manhattan,Marlaine,240360,975,-0.026213244163926397,Average price
198,53196,Brooklyn,Charlotte,247432,160,-0.09525504087437817,Average price
199,53469,Queens,Mark,204539,2940,0.14024949269010764,Higher price average
200,53470,Queens,Mark,204539,980,-0.0257896748589543,Average price
201,53477,Queens,Mark,204539,1855,0.04833495351116264,Average price
202,54158,Brooklyn,Bob,10889,498,-0.06662175585826442,Average price
203,54453,Manhattan,Anka,255583,630,-0.05543952620700107,Average price
204,54466,Manhattan,Douglas,253385,6000,0.39947390733303084,Higher price average
205,54508,Brooklyn,Kathleen R.,210746,200,-0.0918664864346014,Average price
206,54544,Manhattan,Wayne,256161,121,-0.09855888145316052,Average price
207,54626,Bronx,Waundell,190409,45,-0.1049971348887364,Lower price average
208,54860,Manhattan,Jenny,258164,500,-0.06645232813627559,Average price
209,55467,Brooklyn,Paul,260709,280,-0.08508937755504785,Average price
210,55498,Brooklyn,Tami,262138,142,-0.09677989037227772,Average price
211,55668,Manhattan,Jason,88209,260,-0.08678365477493624,Average price
212,55737,Manhattan,Pete,263414,995,-0.024518966944038007,Average price
213,55959,Brooklyn,Gus,168525,276,-0.08542823299902552,Average price
214,55982,Brooklyn,Sally,264928,204,-0.09152763099062372,Average price
215,56467,Manhattan,Leonardo,267593,130,-0.09779645670421075,Average price
216,56525,Brooklyn,Alex,268014,390,-0.07577085284566172,Average price
217,56859,Manhattan,Wayne,256161,64,-0.10338757152984243,Lower price average
218,57166,Queens,Vasili,272006,280,-0.08508937755504785,Average price
219,57297,Brooklyn,S.M.,199392,318,-0.0818702508372599,Average price
220,57468,Manhattan,Ori,239208,567,-0.060776499449649496,Average price
221,57618,Manhattan,Ana,274557,750,-0.04527386288767075,Average price
222,57740,Manhattan,I,275459,717,-0.04806942030048659,Average price
223,57754,Manhattan,R,275578,610,-0.05713380342688946,Average price
224,57874,Manhattan,Simon,276291,465,-0.06941731327108026,Average price
225,58059,Manhattan,Agnes,277379,60,-0.1037264269738201,Lower price average
226,58062,Brooklyn,Linda,277394,270,-0.08593651616499204,Average price
227,58467,Manhattan,Dave,279797,840,-0.037649615398173006,Average price
228,59014,Manhattan,Drica,282927,450,-0.07068802118599656,Average price
229,59121,Queens,Mark,204539,1960,0.05722990891557667,Average price
230,59642,Brooklyn,Betty,274782,270,-0.08593651616499204,Average price
231,59709,Manhattan,Ricardo & Ashlie,186084,1000,-0.024095397639065912,Average price
232,59855,Manhattan,Leslie,288031,7500,0.5265446988246599,Higher price average
233,60164,Manhattan,Harrison,289653,2000,0.060618463355353445,Average price
234,60457,Manhattan,Jessica,99212,1125,-0.013506165014763493,Average price
235,60611,Manhattan,Blanca,292204,3500,0.18768925484698246,Higher price average
236,60666,Manhattan,Wayne,256161,92,-0.10101558342199869,Lower price average
237,60673,Manhattan,Cynthia,249372,350,-0.0791594072854385,Average price
238,60680,Manhattan,Mich,292630,198,-0.09203591415659024,Average price
239,60794,Manhattan,Rachel,293394,780,-0.04273244705783817,Average price
240,60948,Manhattan,Laurine,126607,420,-0.07322943701582914,Average price
241,61167,Manhattan,Greta,295760,270,-0.08593651616499204,Average price
242,61224,Manhattan,Frank,291112,1000,-0.024095397639065912,Average price
243,61406,Manhattan,Bethania,297176,1120,-0.01392973431973559,Average price
244,61492,Manhattan,Tunji,297769,480,-0.06814660535616397,Average price
245,61509,Manhattan,Anna/Fonzy,23619,22000,1.7548956832437406,The price is not average
246,62095,Brooklyn,Colette&Sean,281764,195,-0.0922900557395735,Average price
247,62427,Manhattan,Brie,303882,6500,0.4418308378302405,Higher price average
248,62430,Brooklyn,Sheila,197755,297,-0.08364924191814271,Average price
249,62452,Staten Island,Lissette,303939,72,-0.10270986064188707,Lower price average
250,62461,Staten Island,Lissette,303939,74,-0.10254043291989824,Lower price average
251,62787,Staten Island,Lissette,303939,74,-0.10254043291989824,Lower price average
252,62891,Manhattan,Olivia,306545,525,-0.06433448161141511,Average price
253,62903,Manhattan,Daniel,306605,1845,0.04748781490121844,Average price
254,62925,Brooklyn,Maya,306739,855,-0.03637890748325672,Average price
255,63299,Brooklyn,Scott,308875,118,-0.09881302303614378,Average price
256,63320,Staten Island,Lissette,303939,72,-0.10270986064188707,Lower price average
257,63360,Queens,Dennis & Naoko,307962,495,-0.06687589744124768,Average price
258,63546,Brooklyn,Antonín,308652,39,-0.10550541805470291,Lower price average
259,63573,Brooklyn,Emily,310458,840,-0.037649615398173006,Average price
260,63588,Bronx,Carol Gloria,295128,180,-0.09356076365448979,Average price
261,63610,Bronx,Vie,310670,210,-0.0910193478246572,Average price
262,63657,Brooklyn,Renée,170510,270,-0.08593651616499204,Average price
263,63693,Manhattan,Olivia,306545,1950,0.056382770305632476,Average price
264,63719,Brooklyn,Helene,311286,210,-0.0910193478246572,Average price
265,63913,Manhattan,Paula,312288,525,-0.06433448161141511,Average price
266,64000,Brooklyn,Kristian & Di,312722,1020,-0.022401120419177526,Average price
267,64015,Manhattan,David,146944,600,-0.057980942036833655,Average price
268,64107,Brooklyn,Niya,313317,300,-0.08339510033515946,Average price
269,64277,Brooklyn,Helene,311286,280,-0.08508937755504785,Average price
270,64314,Brooklyn,Debbie,314256,660,-0.052898110377168496,Average price
271,64365,Brooklyn,Anthony,314582,120,-0.09864359531415494,Average price
272,64707,Manhattan,Tilly,7310,1260,-0.0020697937805168793,Average price
273,64837,Manhattan,Edward,46978,136,-0.09728817353824423,Average price
274,65019,Manhattan,Claire,317809,230,-0.08932507060476881,Average price
275,65268,Brooklyn,Juhli,319092,375,-0.07704156076057801,Average price
276,65556,Brooklyn,Marlon,320422,180,-0.09356076365448979,Average price
277,65562,Manhattan,Mary D,320450,903,-0.03231264215552459,Average price
278,65615,Brooklyn,Valerie,320761,1300,0.001318760659259895,Average price
279,65660,Brooklyn,Larissa,320538,380,-0.07661799145560591,Average price
280,65813,Manhattan,Eric,321756,225,-0.08974863990974091,Average price
281,65834,Brooklyn,Jessica,321934,350,-0.0791594072854385,Average price
282,66008,Brooklyn,Melissa,322884,570,-0.06052235786666624,Average price
283,66026,Brooklyn,Alex,322716,1029,-0.02163869567022775,Average price
284,66251,Manhattan,Samir,324460,636,-0.054931243041034555,Average price
285,66275,Manhattan,Tony,314941,95,-0.10076144183901543,Lower price average
286,66451,Brooklyn,Luis Fernando,325389,280,-0.08508937755504785,Average price
287,66718,Manhattan,Henning,136227,810,-0.04019103122800559,Average price
288,66741,Brooklyn,Stefano,327673,300,-0.08339510033515946,Average price
289,66974,Brooklyn,Jana,329436,570,-0.06052235786666624,Average price
290,67288,Manhattan,Per,101597,3472,0.1853172667391387,Higher price average
291,67299,Brooklyn,Adrienne,330347,4050,0.2342818783939131,Higher price average
292,67397,Manhattan,Elise,332189,366,-0.07780398550952779,Average price
293,68099,Manhattan,Deda,323517,109,-0.09957544778509356,Average price
294,68305,Manhattan,Share,338454,2550,0.10721108690228409,Higher price average
295,68403,Brooklyn,Naimah,240427,435,-0.07195872910091285,Average price
296,68735,Manhattan,Violetta,342054,2145,0.07290197319954425,Average price
297,68765,Brooklyn,Jenna,282655,500,-0.06645232813627559,Average price
298,68900,Brooklyn,Jason,343250,375,-0.07704156076057801,Average price
299,68974,Manhattan,Alicia,281229,1150,-0.011388318489903008,Average price
300,69894,Manhattan,Silvia,352168,4500,0.2724031158414018,Higher price average
301,69921,Brooklyn,Joab,155689,350,-0.0791594072854385,Average price
302,70095,Manhattan,Mary And Geoff,353965,180,-0.09356076365448979,Average price
303,70128,Manhattan,Eyal,354330,195,-0.0922900557395735,Average price
304,70609,Manhattan,Bruce,72062,1000,-0.024095397639065912,Average price
305,71010,Manhattan,Kurt,361855,750,-0.04527386288767075,Average price
306,71248,Manhattan,Jennifer,363834,3125,0.15592155697407523,Higher price average
307,71366,Manhattan,Ruperto,364955,6000,0.39947390733303084,Higher price average
308,71384,Brooklyn,Ben,365153,229,-0.08940978446576324,Average price
309,71812,Bronx,Thai,369015,2700,0.11991816605144699,Higher price average
310,72190,Manhattan,Hudson,373085,1430,0.012331562588534411,Average price
311,72265,Brooklyn,Vanessa,340692,177,-0.09381490523747305,Average price
312,74073,Brooklyn,Daniel,211877,780,-0.04273244705783817,Average price
313,74240,Brooklyn,Patty,389924,169,-0.09449261612542839,Average price
314,74333,Manhattan,Amir,331328,1582,0.025208069459686153,Average price
315,74404,Manhattan,G & S,391325,3500,0.18768925484698246,Higher price average
316,74680,Queens,Nazleen,265109,230,-0.08932507060476881,Average price
317,74860,Brooklyn,Allison,394752,110,-0.09949073392409914,Average price
318,75193,Brooklyn,Scott,308875,138,-0.0971187458162554,Average price
319,75635,Manhattan,Patricia,401696,450,-0.07068802118599656,Average price
320,76761,Brooklyn,Evelyn,118971,338,-0.08017597361737153,Average price
321,77765,Brooklyn,The Box House Hotel,417504,537,-0.06331791527948208,Average price
322,77936,Manhattan,Moss Owen,134355,450,-0.07068802118599656,Average price
323,78919,Brooklyn,Nancy,422561,540,-0.06306377369649882,Average price
324,79067,Brooklyn,Bliss,425506,2100,0.06908984945479538,Average price
325,79782,Brooklyn,Pam,430188,1680,0.03351002783713925,Average price
326,80493,Manhattan,Jennifer,434987,142,-0.09677989037227772,Average price
327,80684,Brooklyn,The Box House Hotel,417504,1047,-0.0201138461723282,Average price
328,80700,Brooklyn,The Box House Hotel,417504,1047,-0.0201138461723282,Average price
329,80924,Brooklyn,Ellis,438133,4950,0.3105243532888905,Higher price average
330,81739,Brooklyn,The Box House Hotel,417504,747,-0.045528004470654006,Average price
331,82549,Brooklyn,Christopher,448312,300,-0.08339510033515946,Average price
332,82550,Brooklyn,Christopher,448312,600,-0.057980942036833655,Average price
333,82638,Manhattan,Sarah,449787,676,-0.05154268860125778,Average price
334,82928,Brooklyn,Ruthven,451545,555,-0.06179306578158252,Average price
335,83243,Brooklyn,Julian,453519,130,-0.09779645670421075,Average price
336,83446,Brooklyn,Leslie,454756,4550,0.2766388088911228,Higher price average
337,83722,Brooklyn,Sophie,456638,5970,0.39693249150319826,Higher price average
338,83847,Manhattan,Yvette,410094,450,-0.07068802118599656,Average price
339,84010,Brooklyn,The Box House Hotel,417504,537,-0.06331791527948208,Average price
340,84059,Brooklyn,Famous,459054,750,-0.04527386288767075,Average price
341,84659,Manhattan,Kyle,462776,139,-0.09703403195526097,Average price
342,84905,Manhattan,Ange,464506,285,-0.08466580825007575,Average price
343,85094,Brooklyn,Alex,322716,1185,-0.00842333335509833,Average price
344,86215,Manhattan,T,327900,300,-0.08339510033515946,Average price
345,89427,Brooklyn,Sahr,116599,3250,0.16651078959837765,Higher price average
346,89621,Brooklyn,Marylyn,209460,270,-0.08593651616499204,Average price
347,93313,Brooklyn,Nathalie,25183,240,-0.08847793199482462,Average price
348,94035,Queens,Savannah,35375,80,-0.10203214975393173,Lower price average
349,94209,Brooklyn,Sadatu,503800,9000,0.653615490316289,Higher price average
350,94477,Brooklyn,Jason,478395,350,-0.0791594072854385,Average price
351,94783,Brooklyn,Keishera,473113,600,-0.057980942036833655,Average price
352,95747,Brooklyn,Tessa,509341,980,-0.0257896748589543,Average price
353,95883,Brooklyn,Eduardo,509918,1000,-0.024095397639065912,Average price
354,96471,Brooklyn,Sahr,116599,660,-0.052898110377168496,Average price
355,98330,Manhattan,Shon,31374,500,-0.06645232813627559,Average price
356,98663,Manhattan,Peter Michael,520279,3900,0.2215747992447502,Higher price average
357,99070,Manhattan,Liz And Melissa,522065,455,-0.07026445188102447,Average price
358,99085,Brooklyn,Wanda,522164,3690,0.20378488843592213,Higher price average
359,100002,Manhattan,Giorgio,523218,134,-0.09745760126023308,Average price
360,100184,Queens,,526653,50,-0.1045735655837643,Lower price average
