,Sale Price,Building Class At Time Of Sale,City,Neighbourhood,z_value_prices
318,4568063.0,D0,manhattan,Chelsea / West Village,0.07084994395389921
319,2200000.0,D0,manhattan,Chelsea / West Village,-0.04012430446332715
320,565000.0,D4,manhattan,Chelsea / West Village,-0.11674511065056335
321,580000.0,D4,manhattan,Chelsea / West Village,-0.11604216747453365
322,1000000.0,D4,manhattan,Chelsea / West Village,-0.09635975854570233
323,1070000.0,D4,manhattan,Chelsea / West Village,-0.09307935705756379
324,1134150.0,D4,manhattan,Chelsea / West Village,-0.09007310340807681
325,625000.0,D4,manhattan,Chelsea / West Village,-0.11393333794644459
326,1095000.0,D4,manhattan,Chelsea / West Village,-0.09190778509751431
328,995000.0,D4,manhattan,Chelsea / West Village,-0.09659407293771223
329,999000.0,D4,manhattan,Chelsea / West Village,-0.09640662142410432
330,591500.0,D4,manhattan,Chelsea / West Village,-0.11550324437291089
332,949000.0,D4,manhattan,Chelsea / West Village,-0.09874976534420328
333,960000.0,D4,manhattan,Chelsea / West Village,-0.09823427368178152
334,575000.0,D4,manhattan,Chelsea / West Village,-0.11627648186654355
335,903000.0,D4,manhattan,Chelsea / West Village,-0.10090545775069433
336,603140.0,D4,manhattan,Chelsea / West Village,-0.11495776046831185
337,630000.0,D4,manhattan,Chelsea / West Village,-0.11369902355443469
338,486000.0,D4,manhattan,Chelsea / West Village,-0.1204472780443197
339,620000.0,D4,manhattan,Chelsea / West Village,-0.11416765233845448
340,592500.0,D4,manhattan,Chelsea / West Village,-0.11545638149450892
341,435000.0,D4,manhattan,Chelsea / West Village,-0.12283728484282065
342,416000.0,D4,manhattan,Chelsea / West Village,-0.12372767953245827
343,545000.0,D4,manhattan,Chelsea / West Village,-0.11768236821860294
344,600000.0,D4,manhattan,Chelsea / West Village,-0.11510490990649407
345,445000.0,D4,manhattan,Chelsea / West Village,-0.12236865605880086
346,560000.0,D4,manhattan,Chelsea / West Village,-0.11697942504257325
347,515000.0,D4,manhattan,Chelsea / West Village,-0.11908825457066231
348,1310000.0,D4,manhattan,Chelsea / West Village,-0.08183226624108875
349,599000.0,D4,manhattan,Chelsea / West Village,-0.11515177278489605
350,1265000.0,D4,manhattan,Chelsea / West Village,-0.08394109576917781
351,950000.0,D4,manhattan,Chelsea / West Village,-0.09870290246580131
352,464000.0,D4,manhattan,Chelsea / West Village,-0.12147826136916326
353,1550000.0,D4,manhattan,Chelsea / West Village,-0.0705851754246137
354,1550000.0,D4,manhattan,Chelsea / West Village,-0.0705851754246137
355,825000.0,D4,manhattan,Chelsea / West Village,-0.10456076226604873
356,1465000.0,D4,manhattan,Chelsea / West Village,-0.07456852008878195
357,530000.0,D4,manhattan,Chelsea / West Village,-0.11838531139463263
358,850000.0,D4,manhattan,Chelsea / West Village,-0.10338919030599923
359,1550000.0,D4,manhattan,Chelsea / West Village,-0.0705851754246137
360,699000.0,D4,manhattan,Chelsea / Hudson Yards,-0.11046548494469811
361,857500.0,D4,manhattan,Chelsea / Hudson Yards,-0.1030377187179844
362,860000.0,D4,manhattan,Chelsea / Hudson Yards,-0.10292056152197944
363,4575000.0,D0,manhattan,Chelsea / Hudson Yards,0.07117503174137374
364,1845000.0,D0,manhattan,Chelsea / Hudson Yards,-0.05676062629602981
365,1105000.0,D0,manhattan,Chelsea / Hudson Yards,-0.09143915631349452
366,1650000.0,D0,manhattan,Chelsea / Hudson Yards,-0.06589888758441578
367,705000.0,D4,manhattan,Chelsea / West Village,-0.11018430767428625
368,975000.0,D4,manhattan,Chelsea / West Village,-0.09753133050575183
370,999000.0,D4,manhattan,Chelsea / West Village,-0.09640662142410432
371,2350000.0,D4,manhattan,Chelsea / West Village,-0.03309487270303025
373,1700000.0,D4,manhattan,Chelsea / West Village,-0.06355574366431681
374,965000.0,D4,manhattan,Chelsea / West Village,-0.09799995928977162
376,905000.0,D4,manhattan,Chelsea / West Village,-0.10081173199389037
378,608800.0,D4,manhattan,Chelsea / West Village,-0.11469251657655666
379,2165000.0,D0,manhattan,Chelsea / West Village,-0.04176450520739643
380,1950000.0,D0,manhattan,Chelsea / West Village,-0.05184002406382198
381,650000.0,D0,manhattan,Chelsea / West Village,-0.1127617659863951
382,760000.0,D4,manhattan,Chelsea / West Village,-0.10760684936217738
385,2525000.0,D0,manhattan,Chelsea / West Village,-0.02489386898268387
386,1700000.0,D0,manhattan,Chelsea / West Village,-0.06355574366431681
387,1610000.0,D0,manhattan,Chelsea / West Village,-0.06777340272049495
388,625000.0,D4,manhattan,Chelsea / West Village,-0.11393333794644459
389,675000.0,D4,manhattan,Chelsea / West Village,-0.11159019402634562
390,1075000.0,D4,manhattan,Chelsea / West Village,-0.09284504266555389
391,808500.0,D4,manhattan,Chelsea / West Village,-0.10533399975968138
392,465000.0,D4,manhattan,Chelsea / West Village,-0.12143139849076127
393,699999.0,D0,manhattan,Chelsea / West Village,-0.11041866892917454
395,170867.0,D0,manhattan,Chelsea / West Village,-0.13521531750377067
396,1310000.0,D4,manhattan,Chelsea / West Village,-0.08183226624108875
397,675000.0,D4,manhattan,Chelsea / West Village,-0.11159019402634562
398,1250000.0,D4,manhattan,Chelsea / West Village,-0.08464403894520751
399,2300000.0,D0,manhattan,Chelsea / West Village,-0.03543801662312922
400,2872500.0,D0,manhattan,Chelsea / West Village,-0.008609018737996054
401,1512575.0,D0,manhattan,Chelsea / Hudson Yards,-0.07233901864880779
402,2300000.0,D0,manhattan,Chelsea / Hudson Yards,-0.03543801662312922
403,6100000.0,R2,manhattan,Chelsea / Hudson Yards,0.1426409213043922
404,4795844.0,R2,manhattan,Chelsea / Hudson Yards,0.08152441725918047
405,1960000.0,R2,manhattan,Chelsea / Hudson Yards,-0.05137139527980219
406,3770025.0,R2,manhattan,Chelsea / Hudson Yards,0.03345158619974044
407,6334759.0,R2,manhattan,Chelsea / Hudson Yards,0.15364240377516247
408,6850000.0,R2,manhattan,Chelsea / Hudson Yards,0.1777880801058767
409,5013921.0,R2,manhattan,Chelsea / Hudson Yards,0.09174413319244891
410,5165028.0,R2,manhattan,Chelsea / Hudson Yards,0.0988254421591368
412,5400000.0,R2,manhattan,Chelsea / Hudson Yards,0.10983690642300668
413,607500.0,R2,manhattan,Chelsea / West Village,-0.11475343831847923
414,1850000.0,R4,manhattan,Chelsea / West Village,-0.05652631190401992
415,4300000.0,R4,manhattan,Chelsea / West Village,0.05828774018082943
416,3250000.0,R4,manhattan,Chelsea / West Village,0.009081717858751141
417,2000000.0,R4,manhattan,Chelsea / West Village,-0.04949688014372301
418,2650000.0,R4,manhattan,Chelsea / West Village,-0.019036009182436454
419,2400000.0,R4,manhattan,Chelsea / West Village,-0.030751728782931285
420,1600000.0,R4,manhattan,Chelsea / West Village,-0.06824203150451474
421,2625000.0,R4,manhattan,Chelsea / West Village,-0.02020758114248594
422,2300000.0,R4,manhattan,Chelsea / West Village,-0.03543801662312922
423,1550000.0,R4,manhattan,Chelsea / West Village,-0.0705851754246137
424,999100.0,R4,manhattan,Chelsea / West Village,-0.09640193513626412
