neighbourhood,borough,avg_daily_price,avg_occupied_nights,avg_annual_revenue,total_listings,market_share_percent
"howard beach",queens,120.86666666666666,111.3333,13628.533333333333,15,0.37
"middle village",queens,106.18518518518519,149.7778,13621.037037037036,27,0.66
"claremont village",bronx,87,192.1852,13594.814814814816,27,3.15
"mariners harbor","staten island",79.57142857142857,198.2857,13587.142857142857,7,2.19
"mount hope",bronx,84.06666666666666,181.8000,13550.933333333332,15,1.75
"north riverdale",bronx,75.375,157.5000,13496.375,8,0.93
"dongan hills","staten island",66.83333333333333,181.5000,13349.5,6,1.88
"east elmhurst",queens,80.13207547169812,176.9748,13345.767295597485,159,3.89
canarsie,brooklyn,103.14285714285714,144.3730,13108.031746031746,126,1.07
"castle hill",bronx,63,205.6667,13060.666666666666,9,1.05
arrochar,"staten island",115,109.1905,13035.761904761905,21,6.58
edenwald,bronx,83.27272727272727,179.0909,12953.09090909091,11,1.28
"castleton corners","staten island",182,170.0000,12805,2,0.63
"clason point",bronx,109,143.7059,12798.35294117647,17,1.98
concourse,bronx,79.37837837837837,168.4595,12756.567567567568,37,4.31
maspeth,queens,84.62886597938144,156.1237,12695.072164948453,97,2.37
"richmond hill",queens,89.075,149.6375,12672.3375,80,1.96
"borough park",brooklyn,68.71875,187.3750,12554.875,96,0.81
bayswater,queens,87.47058823529412,157.6471,12505.117647058823,17,0.42
wakefield,bronx,94.58974358974359,139.6154,12397.102564102564,39,4.55
norwood,bronx,73.86363636363636,147.5909,12385.727272727272,22,2.56
bellerose,queens,103.33333333333333,108.8889,12215,9,0.22
clifton,"staten island",85.64285714285714,162.0714,12099.785714285714,14,4.39
"college point",queens,91.8,185.6000,11899.733333333334,15,0.37
"west farms",bronx,122,120.5000,11884.5,2,0.23
rosedale,queens,70.52,184.2200,11842,50,1.22
soundview,bronx,55.63636363636363,215.9091,11794.181818181818,11,1.28
"st. albans",queens,99.46875,142.2813,11358.359375,64,1.56
oakwood,"staten island",90,129.5000,11328.75,4,1.25
"new dorp beach","staten island",56.25,147.0000,11195.75,4,1.25
"concourse village",bronx,73.56521739130434,158.9130,10915.739130434782,23,2.68
"bath beach",brooklyn,76.33333333333333,142.7333,10909.466666666667,15,0.13
"randall manor","staten island",336,89.7895,10734.578947368422,19,5.96
tompkinsville,"staten island",77.56756756756756,127.2703,10720.18918918919,37,11.60
woodhaven,queens,67.3157894736842,144.3289,10279.157894736842,76,1.86
parkchester,bronx,59.193548387096776,188.3226,10218.032258064517,31,3.61
"morris heights",bronx,75.6923076923077,133.8462,9990.076923076924,13,1.52
tremont,bronx,55.57142857142857,178.0000,9930.142857142857,7,0.82
"kew gardens",queens,78.77272727272727,138.7727,9926.772727272728,22,0.54
bronxdale,bronx,54.92307692307692,152.4615,9295.076923076924,13,1.52
fieldston,bronx,77.57142857142857,118.5714,9106.42857142857,7,0.82
"manhattan beach",brooklyn,99.83333333333333,90.8333,9038,6,0.05
corona,queens,60.72727272727273,127.3273,8057.581818181819,55,1.34
"mill basin",brooklyn,179.75,75.0000,7972.25,4,0.03
"midland beach","staten island",90.2,81.8000,7604,5,1.57
concord,"staten island",58.19230769230769,109.4231,7439.384615384615,26,8.15
"grant city","staten island",57.666666666666664,124.6667,7392.5,6,1.88
belmont,bronx,85.82352941176471,100.0588,7380.941176470588,17,1.98
williamsbridge,bronx,103.41935483870968,110.7097,7370.193548387097,31,3.61
graniteville,"staten island",67.5,120.5000,7255,2,0.63
olinville,bronx,43.666666666666664,135.0000,6637.666666666667,3,0.35
"west brighton","staten island",73.52941176470588,95.5882,6448.705882352941,17,5.33
edgemere,queens,84.7,62.2000,5287.8,10,0.24
"bull's head","staten island",55,116.5000,5157.5,4,1.25
richmondtown,"staten island",78,65.0000,5070,1,0.31
"hunts point",bronx,43.266666666666666,102.3333,3914.266666666667,15,1.75
"mount eden",bronx,42.666666666666664,92.6667,3680.3333333333335,3,0.35
willowbrook,"staten island",249,14.0000,3486,1,0.31
"silver lake","staten island",80,41.0000,3280,1,0.31
eastchester,bronx,159.4,41.0000,2859.1,10,1.17
"port richmond","staten island",47.333333333333336,35.3333,1614.6666666666667,3,0.94
"co-op city",bronx,75,2.0000,150,1,0.12
